page_nm,page_id,lang_code,lang_name,trans_code,trans_content
구인구직 > 지원내역관리,FO-JOB-036,ko,한국어,passed,서류 통과
구인구직 > 지원내역관리,FO-JOB-036,en,English,passed,Passed
구인구직 > 지원내역관리,FO-JOB-036,km,캄보디아어,passed,ជាប់
구인구직 > 지원내역관리,FO-JOB-036,ne,네팔어,passed,उत्तीर्ण
구인구직 > 지원내역관리,FO-JOB-036,tl,필리핀어,passed,Passed
구인구직 > 지원내역관리,FO-JOB-036,id,인도네시아어,passed,Lolos
구인구직 > 지원내역관리,FO-JOB-036,vi,베트남어,passed,Đạt
구인구직 > 지원내역관리,FO-JOB-036,bn,방글라데시어,passed,উত্তীর্ণ
구인구직 > 지원내역관리,FO-JOB-036,zh,중국어,passed,通过
구인구직 > 지원내역관리,FO-JOB-036,uz,우즈베키스탄어,passed,O‘tdi
구인구직 > 지원내역관리,FO-JOB-036,si,스리랑카어,passed,සමත්
구인구직 > 지원내역관리,FO-JOB-036,th,태국어,passed,ผ่าน
구인구직 > 지원내역관리,FO-JOB-036,my,미얀마어,passed,အောင်မြင်
구인구직 > 지원내역관리,FO-JOB-036,ru,러시아어,passed,Пройдено
구인구직 > 지원내역관리,FO-JOB-036,ur,파키스탄어,passed,کامیاب
구인구직 > 지원내역관리,FO-JOB-036,mn,몽골어,passed,Тэнцсэн
구인구직 > 지원내역관리,FO-JOB-036,ja,일본어,passed,合格
구인구직 > 지원내역관리,FO-JOB-036,lo,라오스어,passed,ຜ່ານ
구인구직 > 지원내역관리,FO-JOB-036,ko,한국어,hired,최종 합격
구인구직 > 지원내역관리,FO-JOB-036,en,English,hired,Hired
구인구직 > 지원내역관리,FO-JOB-036,km,캄보디아어,hired,ទទួលចូលធ្វើការ
구인구직 > 지원내역관리,FO-JOB-036,ne,네팔어,hired,नियुक्त
구인구직 > 지원내역관리,FO-JOB-036,tl,필리핀어,hired,Hired
구인구직 > 지원내역관리,FO-JOB-036,id,인도네시아어,hired,Diterima
구인구직 > 지원내역관리,FO-JOB-036,vi,베트남어,hired,Đã tuyển
구인구직 > 지원내역관리,FO-JOB-036,bn,방글라데시어,hired,নিয়োগ হয়েছে
구인구직 > 지원내역관리,FO-JOB-036,zh,중국어,hired,录用
구인구직 > 지원내역관리,FO-JOB-036,uz,우즈베키스탄어,hired,Ishga qabul qilindi
구인구직 > 지원내역관리,FO-JOB-036,si,스리랑카어,hired,රැකියාවට බඳවා ඇත
구인구직 > 지원내역관리,FO-JOB-036,th,태국어,hired,รับเข้าทำงาน
구인구직 > 지원내역관리,FO-JOB-036,my,미얀마어,hired,အလုပ်ခန့်ထားပြီး
구인구직 > 지원내역관리,FO-JOB-036,ru,러시아어,hired,Принят(а) на работу
구인구직 > 지원내역관리,FO-JOB-036,ur,파키스탄어,hired,بھرتی کر لیا گیا
구인구직 > 지원내역관리,FO-JOB-036,mn,몽골어,hired,Ажилд авсан
구인구직 > 지원내역관리,FO-JOB-036,ja,일본어,hired,採用
구인구직 > 지원내역관리,FO-JOB-036,lo,라오스어,hired,ຮັບເຂົ້າທໍາງານ
구인구직 > 지원내역관리,FO-JOB-036,ko,한국어,rejected,불합격
구인구직 > 지원내역관리,FO-JOB-036,en,English,rejected,Rejected
구인구직 > 지원내역관리,FO-JOB-036,km,캄보디아어,rejected,បដិសេធ
구인구직 > 지원내역관리,FO-JOB-036,ne,네팔어,rejected,अस्वीकृत
구인구직 > 지원내역관리,FO-JOB-036,tl,필리핀어,rejected,Rejected
구인구직 > 지원내역관리,FO-JOB-036,id,인도네시아어,rejected,Ditolak
구인구직 > 지원내역관리,FO-JOB-036,vi,베트남어,rejected,Bị từ chối
구인구직 > 지원내역관리,FO-JOB-036,bn,방글라데시어,rejected,প্রত্যাখ্যাত
구인구직 > 지원내역관리,FO-JOB-036,zh,중국어,rejected,拒绝
